"tf","shared_targets","pct_of_hif1a_set","family"
"Sp1",171,48.4419263,"housekeeping"
"Trp53",143,40.509915,"stress/senescence"
"Nfkb",127,35.9773371,"NF-kB"
"Jun",118,33.427762,"AP-1/immediate-early"
"Myc",110,31.1614731,"proliferation/metabolism"
"Rela",102,28.8951841,"NF-kB"
"Ap1",100,28.3286119,"AP-1/immediate-early"
"Esr1",96,27.1954674,"nuclear receptor"
"Stat3",90,25.4957507,"cytokine/STAT"
"Egr1",85,24.0793201,"AP-1/immediate-early"
"Nfkb1",81,22.9461756,"NF-kB"
"Ar",80,22.6628895,"nuclear receptor"
"Creb1",79,22.3796034,"growth-factor/other-stress"
"Sp3",75,21.2464589,"housekeeping"
"Pparg",74,20.9631728,"nuclear receptor"
